solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
654_5_129,654,5,129,1855.0,1691.5,,,,,-inf,False,timeout,
552_8_10,552,8,10,3784.0,3563.2,,,,,-inf,False,timeout,
552_17_79,552,17,79,8041.0,7571.8,41.06,5.88,28.99,18.42,-662.96,True,,3.4
654_9_100,654,9,100,3339.0,3044.7,,,,,-inf,False,timeout,
700_5_10,700,5,10,1625.0,1450.0,,,,,-inf,False,timeout,
300_5_59,300,5,59,3625.0,3550.0,,,,,-inf,False,timeout,
614_9_79,614,9,79,3699.0,3422.7,48.3,3.36,0.59,58.69,-inf,False,"seabed clearance too low, bend radius too small",13.1
490_9_139,490,9,139,4815.0,4594.5,,,,,-inf,False,timeout,
552_8_80,552,8,80,3784.0,3563.2,47.46,3.35,0.53,57.17,-inf,False,"seabed clearance too low, bend radius too small",11.3
660_9_148,660,9,148,3285.0,2988.0,,,,,-inf,False,timeout,
654_8_10,654,8,10,2968.0,2706.4,,,,,-inf,False,timeout,
698_9_79,698,9,79,2943.0,2628.9,,,,,-inf,False,timeout,
552_9_10,552,9,10,4257.0,4008.6,,,,,-inf,False,timeout,
448_8_148,448,8,148,4616.0,4436.8,,,,,-inf,False,timeout,
793_5_59,793,5,59,1160.0,961.75,63.95,3.12,0.52,99.86,-inf,False,"seabed clearance too low, bend radius too small",14.3
490_11_148,490,11,148,5885.0,5615.5,81.28,3.13,0.53,67.27,-inf,False,"seabed clearance too low, bend radius too small",15.2
700_9_195,700,9,195,2925.0,2610.0,,,,,-inf,False,timeout,
490_13_59,490,13,59,6955.0,6636.5,31.19,4.46,45.35,15.69,-247.69,True,,10.7
300_5_59,300,5,59,3625.0,3550.0,,,,,-inf,False,timeout,
552_19_79,552,19,79,8987.0,8462.6,40.22,6.65,31.72,10.43,-inf,False,surface clearance too low,8.5
552_1_79,552,1,79,473.0,445.4,,,,,-inf,False,timeout,
654_8_10,654,8,10,2968.0,2706.4,,,,,-inf,False,timeout,
654_20_148,654,20,148,7420.0,6766.0,,,,,-inf,False,timeout,
552_5_10,552,5,10,2365.0,2227.0,,,,,-inf,False,timeout,
446_5_59,446,5,59,2895.0,2783.5,42.33,4.23,0.6,59.37,-inf,False,seabed clearance too low,23.9
300_5_59,300,5,59,3625.0,3550.0,,,,,-inf,False,timeout,
490_8_28,490,8,28,4280.0,4084.0,,,,,-inf,False,timeout,
336_8_148,336,8,148,5512.0,5377.6,,,,,-inf,False,timeout,
654_1_148,654,1,148,371.0,338.3,,,,,-inf,False,timeout,
638_5_59,638,5,59,1935.0,1775.5,,,,,-inf,False,timeout,
490_5_129,490,5,129,2675.0,2552.5,,,,,-inf,False,timeout,
733_8_198,733,8,198,2336.0,2042.8,,,,,-inf,False,timeout,
654_8_19,654,8,19,2968.0,2706.4,,,,,-inf,False,timeout,
311_9_79,311,9,79,6426.0,6286.05,40.51,4.35,32.8,27.59,144.72,True,,8.1
700_9_10,700,9,10,2925.0,2610.0,,,,,-inf,False,timeout,
552_20_79,552,20,79,9460.0,8908.0,39.86,7.08,33.12,6.47,-inf,False,surface clearance too low,10.3
700_17_148,700,17,148,5525.0,4930.0,,,,,-inf,False,timeout,
552_9_131,552,9,131,4257.0,4008.6,,,,,-inf,False,timeout,
300_5_59,300,5,59,3625.0,3550.0,,,,,-inf,False,timeout,
415_5_148,415,5,148,3050.0,2946.25,,,,,-inf,False,timeout,
490_15_59,490,15,59,8025.0,7657.5,34.45,5.27,48.88,5.89,-inf,False,surface clearance too low,10.0
654_14_79,654,14,79,5194.0,4736.2,47.49,3.94,0.52,47.34,-inf,False,seabed clearance too low,15.4
700_1_79,700,1,79,325.0,290.0,,,,,-inf,False,timeout,
300_5_198,300,5,198,3625.0,3550.0,,,,,-inf,False,timeout,
490_11_198,490,11,198,5885.0,5615.5,,,,,-inf,False,timeout,
654_5_129,654,5,129,1855.0,1691.5,,,,,-inf,False,timeout,
552_8_10,552,8,10,3784.0,3563.2,,,,,-inf,False,timeout,
552_17_79,552,17,79,8041.0,7571.8,41.06,5.88,28.99,18.42,-662.96,True,,3.4
654_9_100,654,9,100,3339.0,3044.7,,,,,-inf,False,timeout,
700_5_10,700,5,10,1625.0,1450.0,,,,,-inf,False,timeout,
654_1_198,654,1,198,371.0,338.3,,,,,-inf,False,timeout,
300_9_131,300,9,131,6525.0,6390.0,,,,,-inf,False,timeout,
