,Leftmost,,Rightmost,,Lower-Corner,
Arc length (m),X,Z,X,Z,X,Z
77,28.6047381,-69.86138837,50.98023339,-66.80416823,48.0262001,-31.48300991
78,29.17038311,-69.0367436,51.97993696,-66.77952805,48.45131638,-32.38815244
79,29.70223247,-68.18990788,52.97833132,-66.72275542,48.8596167,-33.30100317
80,30.20713843,-67.326736,53.97439409,-66.63402286,49.25339025,-34.22021299
81,30.69320328,-66.45281499,54.96712388,-66.51359764,49.62887374,-35.1470437
82,31.17052839,-65.57408925,55.9555488,-66.36183785,49.97585899,-36.08491993
83,31.65246416,-64.69788303,56.93873439,-66.17918738,50.30705273,-37.02848763
84,32.15750884,-63.8347895,57.9157906,-65.96616971,50.62877363,-37.97532639
85,32.71185037,-63.00250501,58.88587788,-65.72338097,50.94226505,-38.92492092
86,33.30317846,-62.19607814,59.84821209,-65.45148224,51.24403639,-39.87830404
87,33.92880265,-61.41595721,60.80206842,-65.15119144,51.52537682,-40.83791888
88,34.59485677,-60.67005696,61.74678409,-64.82327498,51.79629494,-41.80052738
89,35.31586438,-59.97713268,62.68176003,-64.46853935,52.06154641,-42.76471204
90,36.11300812,-59.37335187,63.60646151,-64.08782283,52.32183395,-43.73024788
91,36.96321218,-58.84690775,64.52041784,-63.68198754,52.57404677,-44.69792364
92,37.85550621,-58.39546294,65.42322121,-63.25191184,52.81069745,-45.66952646
93,38.7863849,-58.03014622,66.31452487,-62.79848329,53.03998303,-46.64289296
94,39.75441483,-57.77932858,67.19404061,-62.32259216,53.2656697,-47.61709951
95,40.75065418,-57.69274436,68.06153591,-61.82512567,53.48819113,-48.5920332
96,41.74985749,-57.7325297,68.91683054,-61.30696276,53.70481997,-49.56829242
97,42.73931575,-57.87731385,69.75979309,-60.76896965,53.90906007,-50.54722248
98,43.70873693,-58.12269589,70.59033723,-60.211996,54.10782632,-51.52727793
99,44.64275759,-58.47989957,71.40841794,-59.6368717,54.30421116,-52.50781265
100,45.51294636,-58.97261142,72.21402774,-59.04440424,54.49850309,-53.48876352
101,46.32726237,-59.55302722,73.00719299,-58.43537669,54.68831377,-54.47059064
102,47.09382955,-60.1951854,73.78797033,-57.81054608,54.86794696,-55.45433476
103,47.81466245,-60.88828811,74.5564432,-57.17064229,55.04336234,-56.43883903
104,48.48275939,-61.63235587,75.31271869,-56.51636733,55.21716496,-57.42362859
105,49.07961869,-62.43470065,76.05692438,-55.84839492,55.38956013,-58.4086648
106,49.62861056,-63.27052665,76.78920565,-55.16737042,55.55845129,-59.39430715
107,50.14363546,-64.12769956,77.50972294,-54.47391097,55.71879992,-60.38137929
108,50.62963922,-65.00165333,78.21864948,-53.76860585,55.87584239,-61.36898213
109,51.08296894,-65.89299262,78.91616905,-53.052017,56.03184376,-62.35674926
110,51.49082858,-66.8060387,79.60247408,-52.32467968,56.18701076,-63.3446471
111,51.87187118,-67.73059693,80.27776384,-51.58710329,56.33958752,-64.3329476
112,52.23583663,-68.66200943,80.94224296,-50.83977222,56.48524679,-65.32229535
113,52.58546747,-69.59889633,81.59612007,-50.08314681,56.62902499,-66.31191752
114,52.91716568,-70.54228053,82.23960671,-49.31766442,56.77361437,-67.3014208
115,53.22047726,-71.49517562,82.8729166,-48.54374064,56.92051274,-68.29058323
116,53.50881272,-72.45270802,83.49626535,-47.76177079,57.07061051,-69.27926453
117,53.78872565,-73.41273564,84.10987105,-46.97213184,57.22449224,-70.26736325
118,54.06171657,-74.37475379,84.71395661,-46.17518557,57.38259323,-71.25479495
119,54.32471741,-75.33955022,85.30875558,-45.37128381,57.54528192,-72.24148046
120,54.56947138,-76.30914125,85.89452527,-44.56077849,57.71290461,-73.22733905
121,54.80726278,-77.2804626,86.47157555,-43.74404163,57.88581074,-74.21228403
122,55.04467281,-78.25187654,87.04033138,-42.92150648,58.06436847,-75.19621944
123,55.28568636,-79.222402,87.60146799,-42.09375402,58.24897558,-76.17903712
124,55.53287016,-80.19137363,88.15620405,-41.26169783,58.44006842,-77.16061368
125,55.78803279,-81.1582741,88.70693717,-40.42698602,58.63813043,-78.14080707
126,56.05259906,-82.12264323,89.25861692,-39.59289887,58.84370135,-79.11945249
127,56.3278277,-83.08402295,89.82167092,-38.76644665,59.05738767,-80.09635732
128,56.61494336,-84.0419191,90.41797781,-37.96366364,59.27987506,-81.07129469
129,56.91522236,-84.99577004,91.02736568,-37.17076388,59.51194336,-82.04399529
130,57.23005406,-85.94491637,91.64237799,-36.38221802,59.75448478,-83.01413675
131,57.56098973,-86.8885678,92.26386142,-35.59876147,60.00852582,-83.9813299
132,57.90978517,-87.82576407,92.90126691,-34.82820252,60.27525378,-84.94510076
133,58.27843956,-88.75532726,93.57701709,-34.09104667,60.55604806,-85.90486704
134,58.66923017,-89.67580279,94.2688484,-33.36896112,60.8525166,-86.85990724
135,59.08473973,-90.58538676,94.9684359,-32.6543868,61.16653687,-87.80932039
136,59.52787086,-91.48183794,95.67664109,-31.94835173,61.50030001,-88.7519735
137,60.00183812,-92.36237397,96.40354909,-31.26158702,61.85635499,-89.6864339
138,60.51012568,-93.22355408,97.17184324,-30.62146479,62.23764717,-90.61088312
139,61.05639483,-94.06115554,97.95830816,-30.00380288,62.6475426,-91.52300949
140,61.64432475,-94.87005815,98.75428843,-29.39845206,63.089825,-92.41987837
141,62.27737136,-95.64416141,99.56055872,-28.80687517,63.5686478,-93.29778209
142,62.95843734,-96.3763717,100.3868601,-28.24361518,64.08841928,-94.15207864
143,63.68946267,-97.05870864,101.2534276,-27.74452661,64.65359652,-94.97703831
144,64.47097173,-97.68258711,102.1379049,-27.2779117,65.2683672,-95.76573319
145,65.30164769,-98.23932524,103.0321243,-26.83024889,65.93621042,-96.51002271
146,66.17803893,-98.72090339,103.9363901,-26.40324284,66.6593541,-97.20070615
147,67.09452118,-99.12095186,104.8581367,-26.01540981,67.43818754,-97.82792053
