solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
567_13_164,567,13,164,5954.0,5585.45,,,,,-inf,False,timeout,
326_1_141,326,1,141,699.0,682.7,,,,,-inf,False,timeout,
736_5_40,736,5,40,1445.0,1261.0,,,,,-inf,False,timeout,
551_8_132,551,8,132,3792.0,3571.6,,,,,-inf,False,timeout,
695_13_160,695,13,160,4290.0,3838.25,,,,,-inf,False,timeout,
466_6_41,466,6,41,3354.0,3214.2,,,,,-inf,False,timeout,
725_14_27,725,14,27,4200.0,3692.5,,,,,-inf,False,timeout,
623_19_64,623,19,64,7638.0,7046.15,,,,,-inf,False,timeout,
447_18_103,447,18,103,10404.0,10001.7,53.91,8.43,11.31,26.99,-inf,False,seabed clearance too low,24.6
638_18_82,638,18,82,6966.0,6391.8,,,,,-inf,False,timeout,
765_12_105,765,12,105,3120.0,2661.0,,,,,-inf,False,timeout,
729_15_50,729,15,50,4440.0,3893.25,,,,,-inf,False,timeout,
698_14_108,698,14,108,4578.0,4089.4,,,,,-inf,False,timeout,
348_4_133,348,4,133,2708.0,2638.4,,,,,-inf,False,timeout,
770_2_176,770,2,176,510.0,433.0,,,,,-inf,False,timeout,
533_10_86,533,10,86,4920.0,4653.5,52.44,3.62,0.58,61.35,-inf,False,seabed clearance too low,36.2
766_16_104,766,16,104,4144.0,3531.2,,,,,-inf,False,timeout,
696_12_195,696,12,195,3948.0,3530.4,,,,,-inf,False,timeout,
347_8_117,347,8,117,5424.0,5285.2,,,,,-inf,False,timeout,
349_2_139,349,2,139,1352.0,1317.1,,,,,-inf,False,timeout,
547_15_128,547,15,128,7170.0,6759.75,,,,,-inf,False,timeout,
366_1_98,366,1,98,659.0,640.7,,,,,-inf,False,timeout,
754_15_166,754,15,166,4065.0,3499.5,,,,,-inf,False,timeout,
771_7_31,771,7,31,1778.0,1508.15,,,,,-inf,False,timeout,
657_6_199,657,6,199,2208.0,2010.9,,,,,-inf,False,timeout,
405_1_188,405,1,188,620.0,599.75,,,,,-inf,False,timeout,
675_7_69,675,7,69,2450.0,2213.75,,,,,-inf,False,timeout,
653_10_164,653,10,164,3720.0,3393.5,,,,,-inf,False,timeout,
761_15_34,761,15,34,3960.0,3389.25,,,,,-inf,False,timeout,
416_7_69,416,7,69,4263.0,4117.4,42.09,2.92,0.54,53.51,-inf,False,"seabed clearance too low, bend radius too small",32.2
300_14_122,300,14,122,10150.0,9940.0,60.89,8.12,9.15,28.95,-inf,False,seabed clearance too low,25.1
300_14_38,300,14,38,10150.0,9940.0,,,,,-inf,False,timeout,
770_1_87,770,1,87,255.0,216.5,,,,,-inf,False,timeout,
653_16_34,653,16,34,5952.0,5429.6,,,,,-inf,False,timeout,
636_15_176,636,15,176,5835.0,5358.0,,,,,-inf,False,timeout,
388_9_69,388,9,69,5733.0,5558.4,38.92,3.44,31.15,40.96,-inf,False,bend radius too small,28.5
647_15_69,647,15,69,5670.0,5184.75,,,,,-inf,False,timeout,
729_13_89,729,13,89,3848.0,3374.15,,,,,-inf,False,timeout,
729_10_10,729,10,10,2960.0,2595.5,,,,,-inf,False,timeout,
388_11_69,388,11,69,7007.0,6793.6,37.35,4.03,34.24,30.74,-52.11,True,,21.6
561_8_10,561,8,10,3712.0,3487.6,,,,,-inf,False,timeout,
653_19_10,653,19,10,7068.0,6447.65,,,,,-inf,False,timeout,
330_14_188,330,14,188,9730.0,9499.0,,,,,-inf,False,timeout,
664_14_197,664,14,197,5054.0,4589.2,,,,,-inf,False,timeout,
788_14_176,788,14,176,3318.0,2766.4,,,,,-inf,False,timeout,
695_1_69,695,1,69,330.0,295.25,,,,,-inf,False,timeout,
753_10_82,753,10,82,2720.0,2343.5,,,,,-inf,False,timeout,
753_9_197,753,9,197,2448.0,2109.15,,,,,-inf,False,timeout,
388_1_188,388,1,188,637.0,617.6,,,,,-inf,False,timeout,
753_14_68,753,14,68,3808.0,3280.9,,,,,-inf,False,timeout,
300_10_98,300,10,98,7250.0,7100.0,50.91,5.21,15.29,40.15,32.88,True,,24.1
653_14_82,653,14,82,5208.0,4750.9,,,,,-inf,False,timeout,
629_13_50,629,13,50,5148.0,4739.15,,,,,-inf,False,timeout,
455_1_69,455,1,69,570.0,547.25,,,,,-inf,False,timeout,
323_14_197,323,14,197,9828.0,9601.9,,,,,-inf,False,timeout,
770_7_28,770,7,28,1785.0,1515.5,,,,,-inf,False,timeout,
360_7_197,360,7,197,4655.0,4529.0,,,,,-inf,False,timeout,
653_1_122,653,1,122,372.0,339.35,,,,,-inf,False,timeout,
522_7_69,522,7,69,3521.0,3338.3,,,,,-inf,False,timeout,
633_13_69,633,13,69,5096.0,4684.55,,,,,-inf,False,timeout,
770_19_103,770,19,103,4845.0,4113.5,,,,,-inf,False,timeout,
434_15_10,434,15,10,8865.0,8539.5,,,,,-inf,False,timeout,
770_18_149,770,18,149,4590.0,3897.0,,,,,-inf,False,timeout,
770_19_149,770,19,149,4845.0,4113.5,,,,,-inf,False,timeout,
695_20_149,695,20,149,6600.0,5905.0,,,,,-inf,False,timeout,
653_11_87,653,11,87,4092.0,3732.85,,,,,-inf,False,timeout,
300_18_132,300,18,132,13050.0,12780.0,65.5,1.62,12.7,22.43,-inf,False,"seabed clearance too low, bend radius too small",24.1
300_19_176,300,19,176,13775.0,13490.0,,,,,-inf,False,timeout,
388_7_69,388,7,69,4459.0,4323.2,41.29,2.98,0.51,51.3,-inf,False,"seabed clearance too low, bend radius too small",30.0
300_18_82,300,18,82,13050.0,12780.0,,,,,-inf,False,timeout,
682_18_82,682,18,82,6174.0,5560.2,,,,,-inf,False,timeout,
702_15_176,702,15,176,4845.0,4318.5,,,,,-inf,False,timeout,
300_4_32,300,4,32,2900.0,2840.0,,,,,-inf,False,timeout,
300_19_132,300,19,132,13775.0,13490.0,65.82,1.33,13.72,21.99,-inf,False,"seabed clearance too low, bend radius too small",22.4
300_14_188,300,14,188,10150.0,9940.0,,,,,-inf,False,timeout,
770_18_189,770,18,189,4590.0,3897.0,,,,,-inf,False,timeout,
300_15_176,300,15,176,10875.0,10650.0,,,,,-inf,False,timeout,
300_13_130,300,13,130,9425.0,9230.0,66.14,8.13,0.82,38.71,-inf,False,seabed clearance too low,24.7
300_20_197,300,20,197,14500.0,14200.0,,,,,-inf,False,timeout,
770_1_82,770,1,82,255.0,216.5,,,,,-inf,False,timeout,
729_1_69,729,1,69,296.0,259.55,,,,,-inf,False,timeout,
